year,province_id,name,POPULATION THAT HAS EVER ATTENDED SCHOOL BY-PROVINCE AND DISTRICTS 2.1,PERCENTAGE DISTRIBUTION OF POPULATION THAT COMPLETED PRIMARY LEVEL OR HIGHER 2.2,GROSS ENROLMENT RATIO AT THE PRIMARY LEVEL(AGE 6-10)- BY PROVINCE & DISTRICT(EXCLUDING KATCHI CLASS) 2.3(a),GROSS ENROLMENT RATIO AT THE PRIMARY LEVEL(AGE 5-9)- BY PROVINCE & DISTRICT(EXCLUDING KATCHI CLASS) 2.3(b),GROSS ENROLMENT RATIO AT THE PRIMARY LEVEL(AGE 4-9)- BY PROVINCE & DISTRICT(INCLUDING KATCHI CLASS) 2.4,GROSS ENROLMENT RATIO FOR GOVERNMENT PRIMARY SCHOOLS (AGE 5-9) - BY PROVINCE & DISTRICT 2.5,NET ENROLMENT RATE AT THE PRIMARY LEVEL(AGE 6-10)- BY PROVINCE & DISTRICT(EXCLUDING KATCHI CLASS) 2.6(a),NET ENROLMENT RATE AT THE PRIMARY LEVEL(AGE 5-9)- BY PROVINCE & DISTRICT(EXCLUDING KATCHI CLASS) 2.6(b),NET ENROLMENT RATE AT THE PRIMARY LEVEL(AGE 4-9)- BY PROVINCE & DISTRICT(INCLUDING KATCHI CLASS) 2.7,NET ENROLMENT RATE IN GOVERNMENT PRIMARY SCHOOLS (AGE 5-9)- BY PROVINCE & DISTRICT (EXCLUDING KATCHI CLASS) 2.8,PRIMARY LEVEL ENROLMENT IN GOVERNMENT SCHOOLS A PERCENTAGE OF TOTAL PRIMARY 2.9(a),PRIMARY LEVEL ENROLMENT IN GOVERNMENT SCHOOLS A PERCENTAGE OF TOTAL PRIMARY ENROLMENT - BY PROVINCE AND DISTRICT 2.9(b),GROSS ENROLMENT RATIO AT THE MIDDLE LEVEL (AGE 11-13) - BY PROVINCE & DISTRICT 2.10(a),GROSS ENROLMENT RATIO AT THE MIDDLE LEVEL (AGE 10-12)- BY PROVINCE & DISTRICT 2.10(b),NET ENROLMENT RATE AT THE MIDDLE LEVEL (AGE 11-13)- BY PROVINCE & DISTRICT 2.11(a),NET ENROLMENT RATE AT THE MIDDLE LEVEL (AGE 10-12)- BY PROVINCE & DISTRICT 2.11(b),GROSS ENROLMENT RATIO AT THE MATRIC LEVEL(AGE 14-15)- BY PROVINCE AND DISTRICT 2.12(a),GROSS ENROLMENT RATIO AT THE MATRIC LEVEL (AGE 13-14)- BY PROVINCE & DISTRICT 2.12(b),NET ENROLMENT RATE AT THE MATRIC LEVEL (AGE 14-15) - BY PROVINCE & REGION 2.13(a),NET ENROLMENT RATE AT THE MATRIC LEVEL (AGE 13-14)- BY PROVINCE & DISTRICT 2.13(b),IMMUNISATION BASED ON RECALL 3.4(a): AT LEAST 1 IMMUNISATION,IMMUNISATION BASED ON RECORD 3.4(b): FULLY IMMUNIZED,IMMUNISATION BASED ON RECALL AND RECORD 3.4(c): FULLY IMMUNIZED,CHILDREN SUFFERING FROM DIARRHEA IN PAST 15 DAYS 3.7,PRE-NATAL CONSULTATION 3.10,PREGNANT WOMEN WHO RECEIVED TETANUS TOXOID INJECTION 3.11,POST NATAL CONSULTATIONS 3.13
2004-05,1,Islamabad,85,75,125,123,121,88,78,86,82,52,70,67,97,94,36,49,76,83,25,35,96,62,62,7,0,0,0
2004-05,1,Attock,64,49,116,116,115,96,70,81,77,55,83,79,63,72,21,35,56,57,11,20,99,83,83,22,0,0,0
2004-05,1,Rawalpindi,77,66,120,113,116,72,71,81,77,40,60,57,81,83,28,45,80,83,18,32,98,58,58,9,0,0,0
2004-05,1,Jhelum,70,59,127,116,115,87,82,86,77,54,69,68,77,81,27,49,56,60,12,26,100,76,76,7,0,0,0
2004-05,1,Chakwal,73,64,115,114,111,80,75,81,77,47,69,68,81,84,30,50,68,67,15,32,100,43,43,8,0,0,0
2004-05,1,Sargodha,56,43,106,99,103,74,59,68,65,39,70,68,44,54,20,29,36,33,10,12,94,48,48,18,0,0,0
2004-05,1,Bhakkar,48,39,84,76,75,81,51,57,46,49,97,97,49,52,20,32,48,45,10,23,99,22,22,9,0,0,0
2004-05,1,Khushab,53,40,109,106,102,81,65,72,66,47,74,73,41,46,12,21,41,41,12,16,100,75,75,17,0,0,0
2004-05,1,Mianwali,53,44,100,87,90,93,64,68,59,58,93,91,58,67,20,35,45,46,14,22,99,60,60,12,0,0,0
2004-05,1,Faisalabad,64,51,106,102,102,61,64,72,69,35,58,55,55,60,24,34,46,45,13,20,88,55,55,16,0,0,0
2004-05,1,Jhang,49,36,93,93,81,74,63,67,57,49,80,79,38,44,18,26,32,31,9,15,87,51,51,21,0,0,0
2004-05,1,Toba Tek Singh,60,47,103,97,100,80,57,69,62,41,78,76,43,52,18,29,45,44,14,23,92,62,62,15,0,0,0
2004-05,1,Gujranwala,72,59,112,108,116,53,65,77,76,29,47,44,62,69,25,39,51,48,14,22,93,76,76,10,0,0,0
2004-05,1,Gujrat,71,59,119,117,116,80,73,85,79,48,67,62,72,78,25,45,58,55,14,21,90,56,56,11,0,0,0
2004-05,1,Sialkot,75,60,125,127,115,63,84,89,83,41,50,49,73,74,30,50,74,72,18,34,99,89,89,7,0,0,0
2004-05,1,Hafizabad,53,42,96,95,97,71,58,68,65,42,75,71,44,48,16,30,38,38,9,17,92,69,69,16,0,0,0
2004-05,1,Mandi Bahuddin,58,46,114,109,111,83,63,75,70,46,73,72,49,58,18,28,47,40,9,18,100,97,97,18,0,0,0
2004-05,1,Narowal,61,47,130,131,113,95,83,87,77,60,73,74,58,61,25,36,47,46,12,21,95,88,88,12,0,0,0
2004-05,1,Lahore,74,66,109,105,111,37,66,75,76,20,34,33,66,73,28,45,69,63,19,32,94,67,67,10,0,0,0
2004-05,1,Kasur,52,40,94,92,94,62,58,66,64,35,65,63,40,49,18,29,45,42,13,18,92,66,66,9,0,0,0
2004-05,1,Okara,44,34,89,87,82,65,57,65,56,40,72,69,36,46,17,27,33,33,7,12,95,60,60,9,0,0,0
2004-05,1,Sheikhupura,59,47,96,95,101,59,56,67,67,32,61,59,50,56,17,29,45,43,11,18,90,52,52,13,0,0,0
2004-05,1,Vehari,47,34,85,87,83,69,51,58,55,40,81,79,33,37,13,18,29,26,7,9,90,74,74,14,0,0,0
